loss_generator,loss_discriminator
0.045814,0.026354
0.043555,0.017874
0.046690,0.058083
0.040631,0.144739
0.041413,0.104952
0.045604,0.055797
0.047701,0.046772
0.048401,0.055695
0.040469,0.248388
0.040954,0.043737
0.037638,0.106997
0.041212,0.027480
0.042837,0.014014
0.043535,0.007263
0.037356,0.024327
0.038155,0.015390
0.036909,0.027969
0.040994,0.091431
0.036634,0.230889
0.049624,0.073848
0.031430,0.114695
0.037641,0.034209
0.034830,0.068460
0.041477,0.011495
0.035367,0.026082
0.042883,0.008063
0.040854,0.010707
0.044540,0.025696
0.049239,0.006464
0.037324,0.191949
0.033431,1.013013
0.035823,0.033695
0.042590,0.093624
0.036909,0.187720
0.036783,0.454472
0.028537,0.174877
0.047449,1.291042
0.043046,0.252633
0.038801,0.206400
0.041388,0.996285
0.041900,0.135097
0.041706,0.428544
0.054137,0.007627
0.041657,0.027506
0.042157,0.039437
0.039018,0.181780
0.035873,1.028324
0.045021,0.354706
0.041858,1.016734
0.046275,0.252527
0.052490,0.034185
0.046759,0.193465
0.057362,0.170756
0.056203,0.240702
0.048480,0.355886
0.039330,2.940540
0.040026,3.974008
0.050616,4.074654
0.038234,2.671052
0.045634,1.563825
0.040348,0.664238
0.040347,0.674237
0.046290,0.035896
0.042614,0.147927
0.049414,0.180708
0.033701,1.742744
0.046921,0.137352
0.043985,0.153964
0.034249,0.420316
0.032168,0.147431
0.038727,0.384443
0.037220,0.284893
0.043488,0.405549
0.048007,0.245191
0.032612,0.284688
0.046428,0.103318
0.040349,0.183494
0.031034,1.004702
0.035924,0.324340
0.034189,0.200622
0.039359,0.337020
0.038581,0.445853
0.036642,0.107279
0.035655,0.142488
0.043175,0.100499
0.052821,0.032990
0.036193,0.216385
0.035202,0.162711
0.035591,0.370964
0.041971,0.051997
0.048666,0.053936
0.032655,0.086677
0.033761,0.045103
0.033631,0.117687
0.044672,0.188626
0.036346,0.141544
0.034373,0.448123
0.039685,0.086937
0.043853,0.013749
0.040950,0.040422
0.037578,0.423047
0.043049,0.256341
0.043755,0.016637
0.036208,0.357906
0.036260,0.009627
0.037121,0.016930
0.028382,0.122699
0.043749,1.538441
0.037078,0.622254
0.048710,0.008505
0.036824,1.273290
0.050128,0.045118
0.042629,0.011369
0.039428,0.382169
0.043721,0.004515
0.039008,0.031647
0.042950,0.014529
